Instructor,Course,Term,Enroll,Evals_Made,Rcmnd_Class,Rcmnd_Instr,Study_Hrs_wk,Avg_Grade_Expected,Avg_Grade_Received
"Kube, Paul Richard",CSE 8AL - Intro/Computer Science:JavaLab (B),WI08,18,15,86.70%,80.00%,5.83,B (3.21),B- (2.70)
"Marzullo, Keith",CSE 8AL - Intro/Computer Science:JavaLab (C),WI09,18,19,100.00%,100.00%,5.66,B+ (3.53),B (3.08)
"Gillespie, Gary N",CSE 90 - Undergraduate Seminar (A),SP12,18,11,100.00%,100.00%,0.5,A (4.00),N/A
"Swanson, Steven James",CSE 91 - Perspectives in CSE (D),FA16,18,10,90.00%,90.00%,2.3,A (4.00),N/A
"Esmaili, Gholamreza",ECE 124 - Motor Drives (A),SP19,18,6,100.00%,100.00%,13.17,B+ (3.50),N/A
"Yu, Paul K L",ECE 135A - Semiconductor Physics (A),FA11,18,8,87.50%,87.50%,6.75,B+ (3.50),N/A
"Dayeh, Shadi Ahmad",ECE 135B - Electronic Devices (A),SP16,18,10,100.00%,100.00%,14.06,B- (2.86),N/A
"Ehsan, Navid",ECE 158A - Data Networks I (A),WI08,18,16,80.00%,60.00%,5.25,B+ (3.60),N/A
"Franceschetti, Massimo",ECE 158A - Data Networks I (A),FA12,18,11,100.00%,100.00%,6.28,B (3.22),N/A
"Ford, Joseph Earl",ECE 181 - Physical Optics&Fourier Optics (A),SP17,18,6,60.00%,80.00%,8.5,C+ (2.50),N/A
"Ford, Joseph Earl",ECE 181 - Physical Optics&Fourier Optics (A),SP11,18,10,100.00%,100.00%,6.7,B+ (3.56),N/A
"Lomakin, Vitaliy",ECE 182 - Electromagnetic Optcs/GW&FbrOp (A),FA12,18,11,100.00%,100.00%,10.32,B+ (3.36),N/A
"Hayden, Marina Calvet",ECE 1A - MESA Orientation Course (A),FA10,18,12,91.70%,91.70%,0.83,A (4.00),N/A
"Bahadori, Mohammad Yousef",MAE 104 - Aerodynamics (A),S213,18,6,100.00%,40.00%,4.9,B (3.20),N/A
"Seshadri, Kalyanasundaram",MAE 113 - Fundamentals of Propulsion (A),S111,18,9,100.00%,77.80%,8.06,B (3.13),B- (2.77)
"de Oliveira, Mauricio",MAE 148 - Intro to Autonomous Vehicles (B),SP19,18,12,100.00%,100.00%,8.5,A- (3.83),N/A
"Silberman, Jack",MAE 148 - Intro to Autonomous Vehicles (B),SP19,18,12,100.00%,91.70%,8.5,A- (3.83),N/A
"Harrington, Steven Merrill",MAE 155B - Aerospace Engineering Desgn II (B),SP11,18,6,100.00%,83.30%,15.83,A (4.00),N/A
"Anderson, Mark Ronald",MAE 156A - Fund. Prin./Mechanical Desgn I (A),FA14,18,9,100.00%,100.00%,4.28,A- (3.78),N/A
"Paturi, Ramamohan",CSE 101 - Design & Analysis of Algorithm (A),SU09,19,5,80.00%,60.00%,6.9,B (3.20),N/A
"Griswold, William G.",CSE 118 - Ubiquitous Computing (A),FA10,19,12,91.70%,100.00%,6.5,B+ (3.64),N/A
"Tate, Ross E",CSE 130 - Progrmng Lang:Princpl&Paradigm (A),SU10,19,11,81.80%,81.80%,10.68,B+ (3.30),N/A
"Chu, Isaac Y",CSE 136 - Enterprise-class Web Applcatns (A),SU10,19,4,100.00%,100.00%,12,A (4.00),N/A
"Orailoglu, Alex",CSE 140L - Digital Systems Laboratory (B),WI19,19,7,28.60%,28.60%,16.21,C- (1.71),B- (2.79)
"Belongie, Serge J.",CSE 166 - Image Processing (A),FA10,19,13,100.00%,92.30%,10.5,B+ (3.46),N/A
"Swanson, Steven James",CSE 176E - Robotic Sys Design & Implemnt (A),SP19,19,8,100.00%,100.00%,16.21,A- (3.86),N/A
"Kumar, Arun Kumar",CSE 190 - Topics/Computer Sci & Engineer (A),SP18,19,10,100.00%,100.00%,7.25,B (3.29),N/A
"Kumar, Rakesh",CSE 190 - Topics/Computer Sci & Engineer (A),S219,19,6,100.00%,100.00%,5.83,B+ (3.67),N/A
"Paturi, Ramamohan",CSE 190 - Topics/Computer Sci & Engineer (A),FA18,19,12,100.00%,83.30%,11.33,A- (3.82),N/A
"Pasquale, Joseph",CSE 192 - Senior Seminar in CSE (A),WI14,19,16,100.00%,100.00%,0.63,N/A,N/A
"Frankie, Tasha Christine",CSE 3 - Fluency/Information Technology (A),S114,19,7,100.00%,85.70%,5.93,A- (3.80),N/A
"Swanson, Steven James",CSE 42 - Bldg & Programming Elct Device (A),FA18,19,14,92.90%,100.00%,1.64,A (4.00),N/A
"Cottrell, Garrison W",CSE 87 - Freshman Seminar (A),FA17,19,12,63.60%,54.50%,1,A (4.00),N/A
"Kastner, Ryan Charles",CSE 87 - Freshman Seminar (A),FA12,19,7,71.40%,71.40%,1.36,N/A,N/A
"Kastner, Ryan Charles",CSE 87 - Freshman Seminar (B),FA14,19,12,100.00%,100.00%,0.5,A (4.00),N/A
"Papakonstantinou, Yannis",CSE 87 - Freshman Seminar (C),FA12,19,13,91.70%,75.00%,0.5,A (4.00),N/A
"Lin, Bill",ECE 111 - Advanced Digital Design Proj (C),WI15,19,10,85.70%,85.70%,15.07,A- (3.71),B+ (3.35)
"Dayeh, Shadi Ahmad",ECE 136L - Microelectronics Laboratory (A),SP18,19,6,100.00%,100.00%,6.9,A (4.00),N/A
"Milstein, Laurence B.",ECE 154A - Communications Systems I (A),FA12,19,11,100.00%,100.00%,8.75,B (3.25),N/A
"Milstein, Laurence B.",ECE 154B - Communications Systems II (A),WI15,19,7,85.70%,85.70%,8.5,B+ (3.57),N/A
"Khoshabeh, Ramsin",ECE 16 - Rapid Hardware & Software Dsn (B),WI18,19,18,88.90%,100.00%,7.91,B+ (3.41),N/A
"Nemat-Nasser, Syrus Csaba",ECE 173 - Neural Networks & Fuzzy Logic (A),WI08,19,12,83.30%,91.70%,12.5,B+ (3.36),N/A
"Lo, Yu-Hwa",ECE 183 - Optical Electronics (A),WI10,19,8,87.50%,75.00%,6,B+ (3.50),N/A
"Mookherjea, Shayan",ECE 183 - Optical Electronics (A),WI18,19,6,66.70%,83.30%,12.17,B- (2.83),N/A
"Eldon, John",ECE 5 - Intro to ECE (B),SP17,19,7,80.00%,80.00%,4.5,N/A,N/A
"Gilja, Vikash",ECE 5 - Intro to ECE (B),SP17,19,8,83.30%,83.30%,4.1,N/A,N/A
"Hall, Drew A.",ECE 5 - Intro to ECE (B),SP17,19,7,80.00%,100.00%,4.5,N/A,N/A
"Nguyen, Truong Quang",ECE 5 - Intro to ECE (B),SP17,19,8,83.30%,100.00%,3.7,N/A,N/A
"Yu, Paul K L",ECE 87 - Freshman Seminar (A),FA11,19,11,72.70%,72.70%,0.5,A (4.00),N/A
"Seshadri, Kalyanasundaram",MAE 113 - Fundamentals of Propulsion (A),SU07,19,16,73.30%,93.30%,9.43,B- (2.93),N/A
"Tartakovsky, Daniel",MAE 123 - Fluid-Solid Interactions/Envr (A),WI10,19,9,100.00%,100.00%,5.83,B+ (3.44),N/A
"Tartakovsky, Daniel",MAE 125B - Fluid-Solid Interactions/Envr (A),WI10,19,9,100.00%,100.00%,5.83,B+ (3.44),N/A
"Hoger Conn, Anne",MAE 130B - Mechanics II: Dynamics (A),FA13,19,3,100.00%,100.00%,8.5,B+ (3.33),C (2.28)
"Markenscoff, Xanthippi",MAE 131B - Solid Mechanics II (A),WI16,19,4,75.00%,0.00%,5,B (3.25),N/A
"Markenscoff, Xanthippi",MAE 131B - Solid Mechanics II (A),WI09,19,17,70.60%,58.80%,4.97,B+ (3.44),B (3.28)
"Lubarda, Vlado",MAE 131C - Solid Mechanics III (A),SP08,19,14,71.40%,100.00%,5.73,B (3.00),B+ (3.33)
"Nagy, Geza",MAE 133 - Finite Element Methods in MAE (A),FA07,19,18,88.20%,94.40%,5.94,B+ (3.38),B (3.23)
"Tustaniwskyj, Jerry I",MAE 156B - Fund. Prin/Mechanical Desgn II (A),WI15,19,10,100.00%,100.00%,14.06,A- (3.78),N/A
"Olevsky, Eugene",MAE 160 - Mechanical Behavior/Materials (B),S111,19,5,100.00%,80.00%,8.5,A- (3.75),N/A
"Lal, Ratnesh",MAE 171B - Mechancial Engineering Lab II (A),SP14,19,6,100.00%,100.00%,11.7,A- (3.83),N/A
"Shevchenko, Valentin I",MAE 5 - Quantitative Computer Skills (A),WI08,19,12,75.00%,72.70%,4.17,B+ (3.36),B+ (3.50)
"Coimbra, Carlos F.",MAE 93 - Design Compet/Design Race Car (A),FA18,19,16,100.00%,100.00%,6.25,A (4.00),N/A
"Paturi, Ramamohan",CSE 105 - Intro/Theory of Computation (A),SU07,20,14,64.30%,85.70%,9.27,B (3.15),N/A
"Chu, Isaac Y",CSE 136 - Enterprise-class Web Applcatns (A),S217,20,3,100.00%,100.00%,6.5,A (4.00),B+ (3.45)
"Gupta, Rajesh K.",CSE 143 - Microelectronic System Design (A),SP15,20,10,77.80%,77.80%,6.5,B (3.11),B+ (3.55)
"Belongie, Serge J.",CSE 166 - Image Processing (A),FA07,20,17,88.20%,94.10%,7.25,B+ (3.53),B+ (3.63)
"Kumar, Rakesh",CSE 190 - Topics/Computer Sci & Engineer (A),S118,20,12,100.00%,100.00%,9.83,A- (3.75),B+ (3.43)
"Gupta, Rajesh K.",CSE 30 - Computer Organiz&Systms Progrm (B),SP09,20,15,93.30%,80.00%,4.77,B+ (3.38),B (3.16)
"Marx, Susan S",CSE 5A - Introduction to Programming I (A),SU09,20,8,100.00%,100.00%,5.25,A (4.00),N/A
"Gupta, Anjum",CSE 7 - Intro Programming MATLAB (A),S113,20,5,80.00%,100.00%,6.1,B (3.20),B (3.28)
"Ord, Richard",CSE 86 - C++ for Java Programmers (A),SP08,20,14,85.70%,100.00%,1.21,N/A,N/A
"Kastner, Ryan Charles",CSE 87 - Freshman Seminar (B),FA12,20,11,54.50%,63.60%,0.5,A (4.00),N/A
"Kastner, Ryan Charles",CSE 87 - Freshman Seminar (D),FA11,20,7,100.00%,100.00%,1.07,A (4.00),N/A
"Freund, Yoav",CSE 8AL - Intro/Computer Science:JavaLab (A),WI08,20,16,80.00%,80.00%,7.13,B+ (3.31),B- (2.73)
"Swanson, Steven James",CSE 91 - Perspectives in CSE (A),FA16,20,13,90.90%,90.90%,1.59,N/A,N/A
"Swanson, Steven James",CSE 91 - Perspectives in CSE (B),FA16,20,10,100.00%,100.00%,2.06,A (4.00),N/A
"Yip, Michael",ECE 115 - Fast Prototyping (A),SP16,20,16,100.00%,100.00%,11.75,B+ (3.69),B+ (3.62)
"Yu, Paul K L",ECE 135A - Semiconductor Physics (A),WI13,20,9,88.90%,77.80%,9,B (3.13),C+ (2.50)
"Dayeh, Shadi Ahmad",ECE 136L - Microelectronics Laboratory (A),WI16,20,8,100.00%,100.00%,13.5,B (3.13),B (3.30)
"Hildebrand, John A",ECE 145BL - Acoustics Lab (A),WI17,20,7,100.00%,100.00%,5.17,A (4.00),A- (3.77)
"Vanesian, Tasha Christine",ECE 15 - Engineering Computation (A),SU09,20,9,66.70%,66.70%,6.72,B+ (3.63),N/A
"Milstein, Laurence B.",ECE 154A - Communications Systems I (A),FA11,20,12,100.00%,100.00%,10,B (3.17),B- (2.84)
"Milstein, Laurence B.",ECE 154A - Communications Systems I (A),FA07,20,11,100.00%,100.00%,7.41,B+ (3.44),B (3.22)
"Khoshabeh, Ramsin",ECE 16 - Rapid Hardware & Software Dsn (A),FA17,20,17,100.00%,94.10%,5.09,B+ (3.41),B+ (3.46)
"Mercier, Patrick Philip",ECE 165 - Digtl Integrated Circuit Desgn (A),WI18,20,7,100.00%,100.00%,11.36,B (3.14),B (3.05)
"Sworder, David D.",ECE 171B - Linear Control System Theory (A),FA18,20,9,100.00%,100.00%,8.28,B+ (3.56),B+ (3.60)
"Sworder, David D.",ECE 171B - Linear Control System Theory (A),FA13,20,9,100.00%,100.00%,4.21,B+ (3.63),B (3.28)
"Kumar, Rakesh",ECE 180 - Topics in ECE (C),FA16,20,11,90.90%,90.90%,4.5,A- (3.91),B+ (3.68)
"Ford, Joseph Earl",ECE 181 - Physical Optics&Fourier Optics (A),SP15,20,7,100.00%,100.00%,7.36,B+ (3.57),B+ (3.35)
"Lomakin, Vitaliy",ECE 182 - Electromagnetic Optcs/GW&FbrOp (A),FA11,20,11,100.00%,90.90%,5.59,B+ (3.50),B+ (3.59)
"Das, Nandon",ECE 191 - Engineering Group Design Proj (A),SP08,20,6,100.00%,100.00%,14.83,A- (3.74),A- (3.84)
"Das, Pankaj K",ECE 191 - Engineering Group Design Proj (A),SP08,20,19,100.00%,94.70%,13.5,A- (3.74),A- (3.84)
"Shevchenko, Valentin I",ECE 45 - Circuits and Systems (A),S118,20,10,100.00%,100.00%,9.1,B+ (3.40),B+ (3.30)
"Nguyen, Truong Quang",ECE 5 - Intro to ECE (A),FA16,20,9,100.00%,100.00%,4,A (4.00),N/A
"Coles, William A.",ECE 65 - Components & Circuits Lab (A),FA08,20,10,80.00%,60.00%,8.7,B (3.00),C+ (2.60)
"Bahadori, Mohammad Yousef",MAE 101C - Heat Transfer (A),S218,20,5,100.00%,100.00%,8.9,B (3.00),B- (2.94)
"Seshadri, Kalyanasundaram",MAE 113 - Fundamentals of Propulsion (A),SU09,20,8,100.00%,100.00%,7.5,B (3.13),N/A
"Driscoll, Charles F.",MAE 117A - Elementary Plasma Physics (A),SP10,20,9,88.90%,100.00%,5.17,N/A,B+ (3.38)
"Tynan, George Robert",MAE 120 - Introduction to Nuclear Energy (A),SP11,20,8,75.00%,100.00%,6.25,B+ (3.63),B+ (3.30)
"Lubarda, Marko",MAE 130A - Mechanics I: Statics (A),S219,20,10,100.00%,100.00%,5.1,B+ (3.40),B- (2.96)
"Lubarda, Vlado",MAE 130A - Mechanics I: Statics (A),S111,20,11,90.90%,100.00%,8.5,B (3.27),B- (2.77)
"Hoger Conn, Anne",MAE 130A - Mechanics I: Statics (B),WI12,20,10,100.00%,100.00%,6.5,B+ (3.56),B (3.05)
"Murakami, Hidenori",MAE 130B - Mechanics II: Dynamics (A),S214,20,5,100.00%,100.00%,7.7,A- (3.80),B- (2.92)
"Krysl, Petr",MAE 130C - Mechanics III: Vibrations (A),S214,20,4,100.00%,75.00%,9.5,B+ (3.50),B (3.23)
"Lanza Di Scalea, Francesco",MAE 131A - Solid Mechanics I (A),WI12,20,15,93.30%,93.30%,7.17,B (3.00),C+ (2.41)
"de Callafon, Raymond A",MAE 143B - Linear Control (A),S211,20,5,80.00%,80.00%,8.5,B+ (3.40),B (3.13)
"Ghazinejad, Maziar",MAE 156B - Fund. Prin/Mechanical Desgn II (D),SP19,20,16,93.80%,86.70%,12.38,B (3.27),A- (3.71)
"Olevsky, Eugene",MAE 165 - Fatige&Failure Anlys/Eng Comp (A),S212,20,3,100.00%,100.00%,5.83,A (4.00),A- (3.84)
"Delson, Nathan Joseph",MAE 7 - Spatial Visualization (B),WI17,20,17,100.00%,100.00%,0.97,A (4.00),N/A
"Kleissl, Jan",MAE 87 - Freshman Seminar (A),SP18,20,5,80.00%,100.00%,0.9,N/A,N/A
"Murakami, Hidenori",MAE 93 - Design Compet/Design Race Car (A),FA15,20,9,77.80%,66.70%,4.25,A (4.00),N/A
"Nomura, Keiko K.",MAE 93 - Design Compet/Design Race Car (A),SP17,20,6,100.00%,100.00%,7.5,N/A,N/A
"Orailoglu, Alex",CSE 140L - Digital Systems Laboratory (A),SU09,21,8,87.50%,75.00%,12.25,B (3.13),N/A
"Swanson, Steven James",CSE 141 - Intro/Computer Architecture (A),FA09,21,18,100.00%,100.00%,9.94,A- (3.88),B (3.21)
"Swanson, Steven James",CSE 141L - Project/Computer Architecture (A),FA09,21,15,100.00%,100.00%,16.1,A- (3.93),A- (3.83)
"Dahlstrom, Dana B.",CSE 15L - Software Tools&Techniques Lab (B),SP08,21,20,90.00%,100.00%,2.1,B+ (3.65),B+ (3.32)
"Zwicker, Matthias Beat",CSE 167 - Computer Graphics (A),FA07,21,14,92.90%,85.70%,12.21,B+ (3.50),B+ (3.66)
"Bandeira, Nuno Filipe Cabrita",CSE 181 - Molecular Sequence Analysis (A),SP11,21,12,66.70%,41.70%,11.9,B- (2.73),B- (2.99)
"Pevzner, Pavel Arkadjevich",CSE 181 - Molecular Sequence Analysis (A),WI17,21,15,84.60%,53.80%,15.42,B- (2.92),B- (2.90)
"Kumar, Rakesh",CSE 190 - Topics/Computer Sci & Engineer (D),FA18,21,19,100.00%,100.00%,5.39,B+ (3.61),B (3.23)
"Kunin, Jay Stuart",CSE 190 - Topics/Computer Sci & Engineer (G),WI15,21,4,100.00%,100.00%,9.5,A (4.00),A- (3.74)
"Rhodes, Neil Campbell",CSE 21 - Math/Algorithm&Systems Analys (A),SU07,21,20,85.00%,95.00%,6.1,B+ (3.40),N/A
"Pasquale, Joseph",CSE 4GS - Mathematical Beauty in Rome (A),SU10,21,5,100.00%,100.00%,5.3,A (4.00),N/A
"Pasquale, Joseph",CSE 6GS - Mathematicl Beauty in Rome-Lab (A),SU10,21,4,100.00%,100.00%,4,A (4.00),N/A
"Fraenkel, Aaron Mcmillan",CSE 91 - Perspectives in CSE (C),FA18,21,10,100.00%,100.00%,1.5,A (4.00),N/A
"Shevchenko, Valentin I",ECE 107 - Electromagnetism (A),S117,21,5,75.00%,75.00%,11.7,B (3.00),B- (2.84)
"Dey, Sujit",ECE 111 - Advanced Digital Design Proj (A),FA10,21,8,87.50%,87.50%,13,A- (3.75),B+ (3.64)
"Yip, Michael",ECE 115 - Fast Prototyping (A),SP18,21,15,100.00%,100.00%,13.97,B+ (3.47),B+ (3.68)
"Yip, Michael",ECE 115 - Fast Prototyping (A),WI17,21,18,100.00%,100.00%,13.94,B+ (3.59),B+ (3.69)
"Guest, Clark C",ECE 118 - Computer Interfacing (A),SP08,21,18,94.40%,83.30%,9.39,B+ (3.69),B (3.01)
"Ng, Tse Nga",ECE 134 - Electrnc Materls Sci/Integ Cir (A),WI19,21,10,100.00%,100.00%,5.61,A- (3.78),B+ (3.45)
"Javidi, Tara",ECE 153 - Probability&Random Process/Eng (A),FA18,21,15,66.70%,86.70%,7.97,C+ (2.67),B- (2.75)
"Milstein, Laurence B.",ECE 154B - Communications Systems II (A),WI17,21,10,100.00%,100.00%,10.5,A- (3.80),B- (2.70)
"Milstein, Laurence B.",ECE 154B - Communications Systems II (A),WI11,21,9,88.90%,88.90%,7.61,B+ (3.56),B- (2.74)
"Kim, Young-Han",ECE 154C - Communications SystemsIII (A),SP16,21,8,87.50%,87.50%,6,B (3.25),B+ (3.44)
"Gilja, Vikash",ECE 16 - Rapid Hardware & Software Dsn (A),WI16,21,9,100.00%,100.00%,7.25,A- (3.83),B+ (3.43)
"Khoshabeh, Ramsin",ECE 16 - Rapid Hardware & Software Dsn (A),WI19,21,13,92.30%,92.30%,14.5,B (3.18),B (3.15)
"Gilja, Vikash",ECE 16 - Rapid Hardware & Software Dsn (B),WI17,21,12,100.00%,100.00%,5.67,A- (3.80),A- (3.88)
"Sworder, David D.",ECE 171B - Linear Control System Theory (A),FA11,21,6,83.30%,83.30%,7.17,B+ (3.33),B (3.11)
"Lomakin, Vitaliy",ECE 182 - Electromagnetic Optcs/GW&FbrOp (A),FA16,21,13,92.30%,84.60%,8.5,B+ (3.46),B+ (3.38)
"Cosman, Pamela C.",ECE 191 - Engineering Group Design Proj (A),FA14,21,8,100.00%,87.50%,12.21,B+ (3.57),B+ (3.60)
"Eldon, John",ECE 5 - Intro to ECE (A),FA16,21,9,100.00%,100.00%,4,A (4.00),N/A
"Gilja, Vikash",ECE 5 - Intro to ECE (A),FA16,21,9,100.00%,100.00%,4,A (4.00),N/A
"Hall, Drew A.",ECE 5 - Intro to ECE (A),FA16,21,9,100.00%,100.00%,4,A (4.00),N/A
"Kleissl, Jan",MAE 122 - Flow & Transport/Environment (A),FA08,21,18,83.30%,83.30%,5.39,B+ (3.53),B- (2.93)
"Kleissl, Jan",MAE 125A - Flow & Transport/Environment (A),FA08,21,18,83.30%,83.30%,5.39,B+ (3.53),B- (2.93)
"Chen, Jiun-Shyan",MAE 130C - Mechanics III: Vibrations (A),SP15,21,8,71.40%,57.10%,9.17,B+ (3.43),B (3.02)
"Lubarda, Vlado",MAE 131A - Solid Mechanics I (A),S212,21,6,100.00%,100.00%,11.5,B (3.17),B- (2.96)
"Nemat-Nasser, Siavouche",MAE 131A - Solid Mechanics I (A),SP12,21,7,100.00%,85.70%,6.5,B+ (3.43),B (3.15)
"Bahadori, Mohammad Yousef",MAE 180A - Spacecraft Guidance I (A),S212,21,6,100.00%,100.00%,5.5,B+ (3.50),B- (2.96)
"Bandaru, Prabhakar",MAE 20 - Elements of Materials Science (A),SU09,21,10,70.00%,80.00%,6.1,B (3.20),N/A
"McKittrick, Joanna M",MAE 20 - Elements of Materials Science (A),S111,21,9,87.50%,77.80%,5.17,B+ (3.63),A- (3.73)
"Kosmatka, John B",MAE 92A - Design Competitn/Fly Aircraft (A),WI08,21,8,100.00%,100.00%,8.25,N/A,N/A
"Bellare, Mihir",CSE 107 - Intro/Modern Cryptography (A),WI09,22,15,93.30%,93.30%,4.5,B (3.29),B (3.19)
"Gillespie, Gary N",CSE 12 - Basic Data Struct & OO Design (A),S217,22,16,85.70%,85.70%,19.17,B+ (3.33),B+ (3.44)
"Webb, Kevin C",CSE 120 - Princ/Computer Operating Systm (A),S112,22,20,100.00%,100.00%,13.3,B- (2.75),B- (2.88)
"Voelker, Geoffrey M.",CSE 125 - Software Sys Design & Implemnt (A),SP08,22,23,95.70%,100.00%,18.67,A- (3.91),A- (3.99)
"Rosing, Tajana Simunic",CSE 140L - Digital Systems Laboratory (A),WI09,22,19,89.50%,89.50%,7.45,B+ (3.53),B (3.03)
"Tullsen, Dean Michael",CSE 141L - Project/Computer Architecture (A),FA07,22,12,75.00%,75.00%,12,B (3.17),B (3.06)
"Kastner, Ryan Charles",CSE 145 - Embedded System Design Project (A),SP14,22,12,100.00%,100.00%,12.68,A- (3.82),A- (3.81)
"Kastner, Ryan Charles",CSE 145 - Embedded System Design Project (A),WI12,22,14,100.00%,100.00%,9.5,A- (3.86),A- (3.90)
"Elkan, Charles Peter",CSE 151 - Intro to A.I. Stats Approach (A),FA07,22,15,80.00%,86.70%,7.57,B (3.20),B (3.07)
"Klemmer, Scott R",CSE 170 - Interaction Design (A),WI19,22,10,40.00%,30.00%,10.7,B+ (3.30),B+ (3.51)
"Kriegman, David J",CSE 190 - Topics/Computer Sci & Engineer (B),SP14,22,7,71.40%,85.70%,9.07,B+ (3.50),B+ (3.36)
"Alvarado, Christine J.",CSE 191 - Semnr/Computer Sci & Engineer (A),FA14,22,9,100.00%,100.00%,5.25,A (4.00),N/A
"Frankie, Tasha Christine",CSE 3 - Fluency/Information Technology (A),S115,22,10,90.00%,90.00%,5.83,A- (3.78),A- (3.72)
"Rhodes, Neil Campbell",CSE 8AL - Intro/Computer Science:JavaLab (F),FA11,22,9,100.00%,100.00%,2.94,B+ (3.67),B- (2.97)
"Gillespie, Gary N",CSE 90 - Undergraduate Seminar (A),WI10,22,10,80.00%,80.00%,2.5,A (4.00),N/A
"Dayeh, Shadi Ahmad",ECE 136L - Microelectronics Laboratory (A),WI15,22,7,71.40%,85.70%,16.21,B (3.00),B (3.09)
"Lau, Silvanus S",ECE 136L - Microelectronics Laboratory (A),WI15,22,7,71.40%,85.70%,16.21,B (3.00),B (3.09)
"Milstein, Laurence B.",ECE 154A - Communications Systems I (A),FA16,22,7,100.00%,100.00%,7.36,B+ (3.50),B- (2.86)
"Gessner, Richard K.",ECE 180 - Topics in ECE (A),SP18,22,15,73.30%,93.30%,9.79,B+ (3.36),B+ (3.54)
"Ghoudjehbaklou, Hassan",ECE 180 - Topics in ECE (B),WI17,22,5,100.00%,100.00%,8,B (3.00),B+ (3.50)
"Kumar, Rakesh",ECE 180 - Topics in ECE (E),WI18,22,17,94.10%,100.00%,4.03,A- (3.76),B+ (3.68)
"Phan, Alex Minh Giang",ECE 188 - Topics in ECE with Lab (A),WI18,22,22,100.00%,100.00%,10.95,B+ (3.50),B+ (3.65)
"Cosman, Pamela C.",ECE 191 - Engineering Group Design Proj (A),WI19,22,4,100.00%,100.00%,9.83,B+ (3.67),B (3.30)
"Zhang, Xinyu",ECE 191 - Engineering Group Design Proj (A),WI19,22,4,100.00%,100.00%,9.83,B+ (3.67),B (3.30)
"Bahadori, Mohammad Yousef",MAE 110B - Thermodynamic Systems (A),S211,22,11,63.60%,90.90%,8.14,B (3.18),B (3.12)
"Bahadori, Mohammad Yousef",MAE 120 - Introduction to Nuclear Energy (A),S111,22,7,100.00%,100.00%,6.79,A (4.00),B- (2.97)
"Hoger Conn, Anne",MAE 130A - Mechanics I: Statics (A),WI12,22,9,88.90%,100.00%,10.72,B (3.13),B (3.05)
"Hoger Conn, Anne",MAE 130A - Mechanics I: Statics (B),WI12,22,9,88.90%,100.00%,10.72,B (3.13),B (3.05)
"Abi Ghanem, Maroun",MAE 130C - Mechanics III: Vibrations (A),S218,22,21,100.00%,100.00%,8.02,B+ (3.43),B (3.25)
"Bahadori, Mohammad Yousef",MAE 130C - Mechanics III: Vibrations (A),S215,22,8,75.00%,100.00%,7,B+ (3.50),C+ (2.58)
"Murakami, Hidenori",MAE 131A - Solid Mechanics I (A),FA11,22,10,100.00%,90.00%,7.3,A- (3.75),B- (2.93)
"Graeve, Olivia A",MAE 160 - Mechanical Behavior/Materials (A),SP13,22,13,84.60%,100.00%,4.81,B+ (3.69),B- (2.86)
"McKittrick, Joanna M",MAE 160 - Mechanical Behavior/Materials (A),SU07,22,12,75.00%,75.00%,7.33,B+ (3.36),N/A
"Bahadori, Mohammad Yousef",MAE 180A - Spacecraft Guidance I (A),S214,22,11,90.00%,80.00%,8.1,B+ (3.50),B- (2.90)
"Urzay, Javier",MAE 180A - Spacecraft Guidance I (A),SU09,22,6,100.00%,100.00%,9.17,B (3.20),N/A
"Bahadori, Mohammad Yousef",MAE 180B - Space Science & Engineering (A),SU07,22,11,45.50%,63.60%,3.41,B (3.20),N/A
"Bahadori, Mohammad Yousef",MAE 181 - Space Science & Engineering (A),SU07,22,11,45.50%,63.60%,3.41,B (3.20),N/A
"Coimbra, Carlos F.",MAE 93 - Design Compet/Design Race Car (A),SP18,22,15,100.00%,100.00%,7.3,A (4.00),N/A
"Paturi, Ramamohan",CSE 101 - Design & Analysis of Algorithm (A),SU07,23,16,93.80%,93.80%,9.17,B+ (3.33),N/A
"Marx, Susan S",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),SU09,23,8,75.00%,75.00%,12.5,B (3.00),N/A
"Powell, Thomas Allan",CSE 134B - Web Client Languages (A),SU09,23,6,66.70%,66.70%,13.17,C+ (2.67),N/A
"Orailoglu, Alex",CSE 140 - Component&Desgn Tech/Digtl Sys (A),SU09,23,9,77.80%,77.80%,10.28,B- (2.89),N/A
"Jensen, Henrik",CSE 168 - Computer Graphics II:Rendering (A),SP16,23,9,100.00%,66.70%,12.5,B+ (3.67),B+ (3.35)
"Hoover, Gregory William",CSE 190 - Topics/Computer Sci & Engineer (A),S213,23,14,100.00%,100.00%,15.67,B+ (3.33),A- (3.73)
"Kumar, Rakesh",CSE 190 - Topics/Computer Sci & Engineer (A),S119,23,10,88.90%,88.90%,5.17,A- (3.89),B+ (3.46)
"Kumar, Rakesh",CSE 190 - Topics/Computer Sci & Engineer (A),S218,23,19,100.00%,94.70%,8.39,B+ (3.44),B+ (3.42)
"Schulze, Jurgen P.",CSE 190 - Topics/Computer Sci & Engineer (B),WI13,23,16,93.80%,100.00%,9.25,A- (3.87),A- (3.87)
"Halicioglu, Daniel T",CSE 191 - Semnr/Computer Sci & Engineer (C),SP15,23,8,100.00%,100.00%,0.5,N/A,A (4.00)
